Lightness,Chroma,Hue,x,y,Y,L,a,b,C,h
Lt,Equal,R,0.355842149388633,0.322299583351758,66.41435,85.2073293165334,17.5744999765952,9.54656747593892,20,28.5110587845879
Lt,Equal,O,0.359628051712879,0.345703411540179,66.41435,85.2073293165334,8.66007648943518,18.0278416677408,20,64.3416580094114
Lt,Equal,Y,0.346421129593922,0.358621850903363,66.41435,85.2073293165334,-2.19466361231907,19.8792216052028,20,96.2999348350182
Lt,Equal,H,0.332233877039232,0.360219388003874,66.41435,85.2073293165334,-8.83639010771564,17.9420793071557,20,116.220030480286
Lt,Equal,G,0.299828253913069,0.347134041495426,66.41435,85.2073293165334,-18.0845833837707,8.54095099127989,20,154.719664388649
Lt,Equal,C,0.27812887469551,0.326353414739851,66.41435,85.2073293165334,-19.9474974083988,-1.44822206236606,20,184.152484838469
Lt,Equal,B,0.26314534237941,0.284343626005899,66.41435,85.2073293165334,-8.35213413352726,-18.1725577565616,20,245.316419174714
Lt,Equal,P,0.300964989582818,0.279480607957854,66.41435,85.2073293165334,13.8167346503145,-14.4602158906014,20,313.696380043301
Lt,Match,R,0.352356652110423,0.321939693274145,66.41435,85.2073293165334,16.2564124783506,8.83057491524351,18.5,28.5110587845879
Lt,Match,O,0.360829959221734,0.34637311285174,66.41435,85.2073293165334,8.86791832518163,18.4605098677666,20.48,64.3416580094114
Lt,Match,Y,0.347320082870957,0.359688850065082,66.41435,85.2073293165334,-2.24953020262703,20.3762021453329,20.5,96.2999348350182
Lt,Match,H,0.333767053473786,0.363502598042252,66.41435,85.2073293165334,-9.47261019547119,19.2339090172709,21.44,116.220030480286
Lt,Match,G,0.299342090041608,0.348579894585885,66.41435,85.2073293165334,-18.8893473443485,8.92102331039186,20.89,154.719664388649
Lt,Match,C,0.276771781890929,0.326776768924832,66.41435,85.2073293165334,-20.8052397969599,-1.51049561104779,20.86,184.152484838469
Lt,Match,B,0.261391684432516,0.283094733035775,66.41435,85.2073293165334,-8.67786736473486,-18.8812875090675,20.78,245.316419174714
Lt,Match,P,0.301821836697365,0.282599353324632,66.41435,85.2073293165334,12.5801368991113,-13.1660265683925,18.21,313.6963800433
Dk,Equal,R,0.41564166004186,0.325807138790444,5.64554749323466,28.5,17.5744999765952,9.54656747593894,20,28.511058784588
Dk,Equal,O,0.422663640851163,0.377503722866346,5.64554749323466,28.5,8.66007648943515,18.0278416677408,20,64.3416580094115
Dk,Equal,Y,0.390168007075308,0.411818793468809,5.64554749323466,28.5,-2.1946636123191,19.8792216052028,20,96.2999348350183
Dk,Equal,H,0.357246492818207,0.419640511662395,5.64554749323466,28.5,-8.8363901077157,17.9420793071557,20,116.220030480286
Dk,Equal,G,0.28480572903178,0.390870872276084,5.64554749323466,28.5,-18.0845833837707,8.54095099127992,20,154.719664388649
Dk,Equal,C,0.238657834490528,0.338303854068469,5.64554749323466,28.5,-19.9474974083988,-1.44822206236606,20,184.152484838469
Dk,Equal,B,0.209541603264204,0.244194602675599,5.64554749323466,28.5,-8.35213413352726,-18.1725577565616,20,245.316419174714
Dk,Equal,P,0.288172048348796,0.238499893899398,5.64554749323466,28.5,13.8167346503144,-14.4602158906013,20,313.6963800433
Dk,Match,R,0.411468621629801,0.325724280459681,5.64554749323466,28.5,16.889094477508,9.17425134437732,19.22,28.511058784588
Dk,Match,O,0.42588494528222,0.378930311614413,5.64554749323466,28.5,8.91554874587353,18.5596629969392,20.59,64.3416580094114
Dk,Match,Y,0.39753173469986,0.421095373172073,5.64554749323466,28.5,-2.42071396438795,21.9267814305387,22.06,96.2999348350183
Dk,Match,H,0.357543793303278,0.420446426417828,5.64554749323466,28.5,-8.90266303352355,18.0766449019594,20.15,116.220030480286
Dk,Match,G,0.284458377834873,0.39186084546943,5.64554749323466,28.5,-18.3015983843759,8.64344240317527,20.24,154.719664388649
Dk,Match,C,0.241659958683201,0.337422769320239,5.64554749323466,28.5,-19.0797812711335,-1.38522440265314,19.13,184.152484838469
Dk,Match,B,0.215163604228155,0.248601131484104,5.64554749323466,28.5,-7.82594968311506,-17.0276866178982,18.74,245.316419174714
Dk,Match,P,0.290423688494569,0.245075503640636,5.64554749323466,28.5,12.4903281238842,-13.0720351651036,18.08,313.6963800433
