Lightness,Chroma,Hue,x,y,Y,L,a,b,C,h
Lt,Lo,R,0.344250750967366,0.321035216263891,66.41435,85.2073293165334,13.1808749824464,7.1599256069542,15,28.5110587845879
Lt,Lo,O,0.347121076389181,0.3385998916412,66.41435,85.2073293165334,6.4950573670764,13.5208812508056,15,64.3416580094114
Lt,Lo,Y,0.337384969127079,0.347946278957489,66.41435,85.2073293165334,-1.64599770923929,14.9094162039021,15,96.2999348350182
Lt,Lo,H,0.326830012791668,0.348921940003842,66.41435,85.2073293165334,-6.62729258078676,13.4565594803668,15,116.220030480286
Lt,Lo,G,0.302509652878876,0.33911930705774,66.41435,85.2073293165334,-13.563437537828,6.40571324345993,15,154.719664388649
Lt,Lo,C,0.286047917385794,0.323866469010364,66.41435,85.2073293165334,-14.9606230562991,-1.08616654677456,15,184.152484838469
Lt,Lo,B,0.274536283260305,0.292351353622575,66.41435,85.2073293165334,-6.26410060014543,-13.6294183174212,15,245.316419174714
Lt,Lo,P,0.303339979563136,0.288272745538449,66.41435,85.2073293165334,10.3625509877359,-10.845161917951,15,313.696380043301
Lt,Hi,R,0.379216549424882,0.324267068352009,66.41435,85.2073293165334,26.3617499648928,14.3198512139084,30,28.5110587845879
Lt,Hi,O,0.384634043987146,0.35915228887585,66.41435,85.2073293165334,12.9901147341528,27.0417625016112,30,64.3416580094114
Lt,Hi,Y,0.364167059462245,0.379866592323925,66.41435,85.2073293165334,-3.29199541847858,29.8188324078042,30,96.2999348350182
Lt,Hi,H,0.342627223318306,0.383251148387033,66.41435,85.2073293165334,-13.2545851615735,26.9131189607336,30,116.220030480286
Lt,Hi,G,0.294208595848081,0.363716541966061,66.41435,85.2073293165334,-27.126875075656,12.8114264869199,30,154.719664388649
Lt,Hi,C,0.262448190710773,0.331192845194509,66.41435,85.2073293165334,-29.9212461125982,-2.17233309354909,30,184.152484838469
Lt,Hi,B,0.24117561028708,0.268385767164114,66.41435,85.2073293165334,-12.5282012002909,-27.2588366348425,30,245.316419174714
Lt,Hi,P,0.296060659257894,0.262644933429902,66.41435,85.2073293165334,20.7251019754717,-21.690323835902,30,313.6963800433
Dk,Lo,R,0.388883400407383,0.324855994279673,5.64554749323466,28.5,13.1808749824464,7.1599256069542,15,28.511058784588
Dk,Lo,O,0.394858526569589,0.364346953996973,5.64554749323466,28.5,6.4950573670764,13.5208812508056,15,64.3416580094114
Dk,Lo,Y,0.371285747899701,0.388506462311288,5.64554749323466,28.5,-1.64599770923929,14.9094162039021,15,96.2999348350182
Dk,Lo,H,0.346708172276146,0.392859828777706,5.64554749323466,28.5,-6.62729258078673,13.4565594803668,15,116.220030480286
Dk,Lo,G,0.291794449478415,0.370756074382017,5.64554749323466,28.5,-13.563437537828,6.40571324345993,15,154.719664388649
Dk,Lo,C,0.256064146077462,0.333129343466049,5.64554749323466,28.5,-14.9606230562991,-1.08616654677454,15,184.152484838469
Dk,Lo,B,0.232475710540184,0.26187759178136,5.64554749323466,28.5,-6.26410060014548,-13.6294183174212,15,245.316419174714
Dk,Lo,P,0.293993602423643,0.256003759510078,5.64554749323466,28.5,10.3625509877358,-10.845161917951,15,313.6963800433
Dk,Hi,R,0.468667504302056,0.32474651261889,5.64554749323466,28.5,26.3617499648928,14.3198512139084,30,28.5110587845879
Dk,Hi,O,0.474698393470761,0.397651147372838,5.64554749323466,28.5,12.9901147341527,27.0417625016112,30,64.3416580094115
Dk,Hi,Y,0.422982907665462,0.454296290861069,5.64554749323466,28.5,-3.29199541847863,29.8188324078042,30,96.2999348350183
Dk,Hi,H,0.374118301627714,0.472894890146067,5.64554749323466,28.5,-13.2545851615735,26.9131189607336,30,116.220030480286
Dk,Hi,G,0.269385310614989,0.434011405648296,5.64554749323466,28.5,-27.1268750756561,12.8114264869199,30,154.719664388649
Dk,Hi,C,0.205075015023809,0.347806100188723,5.64554749323466,28.5,-29.9212461125982,-2.17233309354909,30,184.152484838469
Dk,Hi,B,0.168810677774327,0.210797794720739,5.64554749323466,28.5,-12.5282012002909,-27.2588366348425,30,245.316419174714
Dk,Hi,P,0.276269423859041,0.207069418277015,5.64554749323466,28.5,20.7251019754716,-21.690323835902,30,313.6963800433
