Subj,HappySad,Angry,Sat,LD,YB,RG,C,L,a,b
5,45.75,-25.25,-66,-86.75,-72.5,0,15,28.5,-6.26410060014548,-13.6294183174212
5,59,-39.25,-27.75,-82,-14.25,0,15,28.5,10.3625509877358,-10.845161917951
5,54.5,28.5,20.75,-69,1.75,64,30,28.5,26.3617499648928,14.3198512139084
5,-29.5,49.75,-56.75,-73.5,2.25,28,30,28.5,12.9901147341527,27.0417625016112
5,-56.75,12.5,-87,-86.25,7,-32.5,30,28.5,-3.29199541847863,29.8188324078042
5,-44.75,-24.25,-2,-86,0.5,-51.5,30,28.5,-13.2545851615735,26.9131189607336
5,35.25,-24.75,19.25,-68.5,2.25,-74.25,30,28.5,-27.1268750756561,12.8114264869199
5,64.25,-73.75,41.5,-72.25,-28.5,-34,30,28.5,-29.9212461125982,-2.17233309354909
5,69.25,-82.75,32.5,-63.25,-100,0,30,28.5,-12.5282012002909,-27.2588366348425
5,60.25,-41.75,25.25,-69.75,-16,0.25,30,28.5,20.7251019754716,-21.690323835902
6,75,-97.5,45.5,83.5,26.25,16.25,15,85.2073293165334,13.1808749824464,7.1599256069542
6,46.5,-94.75,13,69,26,14.75,15,85.2073293165334,6.4950573670764,13.5208812508056
6,-9.25,-97,-0.25,98.25,40,-0.75,15,85.2073293165334,-1.64599770923929,14.9094162039021
6,-2.75,-92,-14,87.5,24.5,-22.75,15,85.2073293165334,-6.62729258078676,13.4565594803668
6,19.25,-90,1.25,71.25,21.5,-17,15,85.2073293165334,-13.563437537828,6.40571324345993
6,41.75,-93,26,63.25,-41.25,-19.5,15,85.2073293165334,-14.9606230562991,-1.08616654677456
6,8,-90.75,26.75,56,-40,-0.25,15,85.2073293165334,-6.26410060014543,-13.6294183174212
6,35,-92.5,17,53.5,-7.75,25,15,85.2073293165334,10.3625509877359,-10.845161917951
6,84.75,-99.75,80.25,33.25,29.5,34.5,30,85.2073293165334,26.3617499648928,14.3198512139084
6,74.75,-99.5,73.5,62.75,32.5,16.5,30,85.2073293165334,12.9901147341528,27.0417625016112
6,40.75,-88.5,30.25,69.25,100,-4.25,30,85.2073293165334,-3.29199541847858,29.8188324078042
6,22,-90.25,40,50,52.75,-24,30,85.2073293165334,-13.2545851615735,26.9131189607336
6,45.25,-92.75,67.5,55.5,-5.75,-45,30,85.2073293165334,-27.126875075656,12.8114264869199
6,61.75,-96.75,58,24.5,-19.5,-14.5,30,85.2073293165334,-29.9212461125982,-2.17233309354909
6,63,-98.75,63.75,45,-61.75,-16.75,30,85.2073293165334,-12.5282012002909,-27.2588366348425
6,55.5,-100,54,58.75,-27.5,18.25,30,85.2073293165334,20.7251019754717,-21.690323835902
6,1,25.25,-4.75,-52.25,-1,44.75,15,28.5,13.1808749824464,7.1599256069542
6,1.75,-9.5,-61.5,-51.75,16.5,19.75,15,28.5,6.4950573670764,13.5208812508056
6,7.25,-9.75,-45,-74.75,14.75,-68.75,15,28.5,-1.64599770923929,14.9094162039021
6,6.5,-63.75,-37.25,-63.25,2.75,-78.25,15,28.5,-6.62729258078673,13.4565594803668
6,2.75,-33.5,-31.25,-49.5,-18.25,-93.5,15,28.5,-13.563437537828,6.40571324345993
6,-18.75,-42.5,-35.5,-76.25,-41,-62.5,15,28.5,-14.9606230562991,-1.08616654677454
6,-19,-28.5,-31.5,-66.75,-52,-13.5,15,28.5,-6.26410060014548,-13.6294183174212
6,1.75,-59.5,-53.75,-65.25,-34.25,35,15,28.5,10.3625509877358,-10.845161917951
6,7.75,79.5,-46.5,-74.75,0.25,93.75,30,28.5,26.3617499648928,14.3198512139084
6,12,4.5,-16,-58.75,-0.25,58.75,30,28.5,12.9901147341527,27.0417625016112
6,10,-25.75,-44.75,-74.75,11.75,-31.5,30,28.5,-3.29199541847863,29.8188324078042
6,0.75,-39,-32,-42.5,-25.75,-86.75,30,28.5,-13.2545851615735,26.9131189607336
6,19,-49.25,-8.5,-33.25,0,-98.75,30,28.5,-27.1268750756561,12.8114264869199
6,27.75,-42,2,-50,-31.5,-66.75,30,28.5,-29.9212461125982,-2.17233309354909
6,-57.25,-69,34.75,-41.5,-95,-7,30,28.5,-12.5282012002909,-27.2588366348425
6,9.25,-23.5,-17,-60.25,-18.25,30,30,28.5,20.7251019754716,-21.690323835902
7,6.5,-91.75,-24.25,95.5,25.5,37.5,15,85.2073293165334,13.1808749824464,7.1599256069542
7,5,-84,-43,91.5,37.75,29.75,15,85.2073293165334,6.4950573670764,13.5208812508056
7,0,-100,-78.75,72,42.5,-10.5,15,85.2073293165334,-1.64599770923929,14.9094162039021
7,-11,-100,-95.25,56.5,26.25,-16.5,15,85.2073293165334,-6.62729258078676,13.4565594803668
7,-16.25,-98.5,-82.75,84.5,-19.5,-57,15,85.2073293165334,-13.563437537828,6.40571324345993
7,4,-100,-43.75,55.75,-38,-28.25,15,85.2073293165334,-14.9606230562991,-1.08616654677456
7,8.5,-100,-23,62.25,-37.25,-35.25,15,85.2073293165334,-6.26410060014543,-13.6294183174212
7,5.25,-100,-57.25,77,-67,24.75,15,85.2073293165334,10.3625509877359,-10.845161917951
7,35.25,-100,42.75,71.5,27.5,41,30,85.2073293165334,26.3617499648928,14.3198512139084
7,6.75,-100,-25.25,58.5,47,43.5,30,85.2073293165334,12.9901147341528,27.0417625016112
7,1.25,-100,-67.25,54.25,46.75,10.75,30,85.2073293165334,-3.29199541847858,29.8188324078042
7,2.75,-100,-66.25,13.5,40.5,-40.75,30,85.2073293165334,-13.2545851615735,26.9131189607336
7,10,-100,-53.75,37.25,0.25,-72,30,85.2073293165334,-27.126875075656,12.8114264869199
7,33,-100,24,36.75,-37.5,-16.75,30,85.2073293165334,-29.9212461125982,-2.17233309354909
7,29.5,-100,32,39,-70.5,-33,30,85.2073293165334,-12.5282012002909,-27.2588366348425
7,19.75,-100,-43.5,75,-5.25,28.5,30,85.2073293165334,20.7251019754717,-21.690323835902
7,0,-100,-16.5,-74.75,10.75,21.75,15,28.5,13.1808749824464,7.1599256069542
7,0,-100,0.25,-100,16,16.5,15,28.5,6.4950573670764,13.5208812508056
7,-4.25,-100,-34.25,-68.75,2.25,-59.5,15,28.5,-1.64599770923929,14.9094162039021
7,-6,-100,-27.25,-81.75,-0.5,-83.75,15,28.5,-6.62729258078673,13.4565594803668
7,14.75,-100,7.75,-61.75,-26.75,-73.25,15,28.5,-13.563437537828,6.40571324345993
7,15,-100,9,-70.5,-48.5,-55.25,15,28.5,-14.9606230562991,-1.08616654677454
7,32.25,-93.25,-16.5,-60.25,-100,-49,15,28.5,-6.26410060014548,-13.6294183174212
7,-4.5,-100,-19,-100,-44.75,17.5,15,28.5,10.3625509877358,-10.845161917951
7,18.5,-97.25,0,5.5,16.75,100,30,28.5,26.3617499648928,14.3198512139084
