hue,lightness,chroma,HS1,A1,Sat1,LD1,YB1,RG1,HSr,Ar,Satr,LDr,YBr,RGr,L,a,b,C
R,Lt,Lo,45.225,-63.225,-5.2875,72.55,14.725,28.3375,51.6511627906977,-24.4302325581395,37.1860465116279,60.4418604651163,24.1162790697674,34.953488372093,85.2073293165334,13.1808749824464,7.1599256069542,15
O,Lt,Lo,35,-61.7875,-19.6375,75.1375,28.5375,20.6,49.0232558139535,-30.7558139534884,15.6046511627907,60.1744186046512,32.6860465116279,24.2790697674419,85.2073293165334,6.4950573670764,13.5208812508056,15
Y,Lt,Lo,30.425,-57.9,-18.4625,78.3375,44.575,2.975,36.0581395348837,-39.6279069767442,10.1976744186047,65.7093023255814,48.2674418604651,11.0581395348837,85.2073293165334,-1.64599770923929,14.9094162039021,15
H,Lt,Lo,23.175,-63.875,-25.2875,80.9875,43.2375,-2.1125,40.4418604651163,-49.906976744186,6.05813953488372,67.9767441860465,42.8720930232558,3.66279069767442,85.2073293165334,-6.62729258078676,13.4565594803668,15
G,Lt,Lo,24.9875,-71.0375,-30.95,75.35,-13.3,-24.975,33.9883720930233,-44.9651162790698,14.953488372093,69.9186046511628,0.0465116279069767,-28.5348837209302,85.2073293165334,-13.563437537828,6.40571324345993,15
C,Lt,Lo,39.65,-73.3625,-33.1125,74.7625,-49.875,-17.55,38.5232558139535,-44.1046511627907,22.2558139534884,67.2674418604651,-35.1976744186046,-24.0116279069767,85.2073293165334,-14.9606230562991,-1.08616654677456,15
B,Lt,Lo,37.225,-67.0625,-32.6875,71.05,-54,-7.3,28.4186046511628,-55.3604651162791,7.73255813953488,72.9883720930233,-54.7441860465116,-15.4883720930233,85.2073293165334,-6.26410060014543,-13.6294183174212,15
P,Lt,Lo,39.975,-63.375,-4.0625,74.7125,-9.6,19.575,49.0813953488372,-40.3023255813954,29.6511627906977,60.2441860465116,16.2209302325581,29.2558139534884,85.2073293165334,10.3625509877359,-10.845161917951,15
R,Lt,Hi,56.3625,-53.2125,18.4625,60.375,10.5125,38.625,60.8488372093023,-10.1744186046512,53.953488372093,54.3720930232558,22.7558139534884,40.6162790697674,85.2073293165334,26.3617499648928,14.3198512139084,30
O,Lt,Hi,42.1625,-65.9125,5.3,64.025,28.175,27.4375,46.6627906976744,-28.093023255814,37.6860465116279,49.8720930232558,31.3372093023256,30.1395348837209,85.2073293165334,12.9901147341528,27.0417625016112,30
Y,Lt,Hi,36.2375,-64.8125,0.75,67.5875,73.875,1.6375,52.3372093023256,-43.1162790697674,36.093023255814,61.7325581395349,77.1162790697674,7.27906976744186,85.2073293165334,-3.29199541847858,29.8188324078042,30
H,Lt,Hi,29.3,-65.4375,-9.55,69.3125,57.675,-17.9125,44.6976744186046,-43.3372093023256,29.7209302325581,54.906976744186,69.3837209302326,-12.7209302325581,85.2073293165334,-13.2545851615735,26.9131189607336,30
G,Lt,Hi,45.625,-75.6,-4.1875,69.1375,-13.175,-45.7125,49.6279069767442,-54.0348837209302,42.453488372093,58.7093023255814,-7.02325581395349,-47.546511627907,85.2073293165334,-27.126875075656,12.8114264869199,30
C,Lt,Hi,54.9875,-81.45,5.2625,64.0375,-64.175,-17.0625,52.1744186046512,-49.5232558139535,51.1162790697674,64.4069767441861,-57.7209302325581,-22.0813953488372,85.2073293165334,-29.9212461125982,-2.17233309354909,30
B,Lt,Hi,48.1375,-78.6125,3.5125,60.7625,-69.6875,-13.1375,39.2441860465116,-58.3837209302326,39.4418604651163,62.8023255813954,-75.1976744186046,-16.6511627906977,85.2073293165334,-12.5282012002909,-27.2588366348425,30
P,Lt,Hi,47.55,-71.1625,11.9875,71.0875,-8.6125,22.075,55.6860465116279,-37.9651162790698,54.3488372093023,58.1395348837209,5.90697674418605,34.7325581395349,85.2073293165334,20.7251019754717,-21.690323835902,30
R,Dk,Lo,-33.9375,7.9375,15.95,-70.9,5.3,46.9125,-41.1744186046512,25.9418604651163,-24.0697674418605,-54.7325581395349,0.255813953488372,51.2441860465116,28.5,13.1808749824464,7.1599256069542,15
O,Dk,Lo,-44.1625,7.0875,2.1875,-79.175,4.95,15.1125,-45.1627906976744,22.6511627906977,-31.7441860465116,-60.2906976744186,6.31395348837209,15.8023255813953,28.5,6.4950573670764,13.5208812508056,15
Y,Dk,Lo,-48.6375,11.3,-7.2125,-75.75,0.825,-42.65,-56.2209302325581,14.0581395348837,-30.6395348837209,-63.4767441860465,-1.38372093023256,-48.2674418604651,28.5,-1.64599770923929,14.9094162039021,15
H,Dk,Lo,-36.5375,1.475,-11.75,-77.8,-4.5375,-63.7375,-49.1744186046512,2.25581395348837,-34.8720930232558,-66,-6.68604651162791,-64.5116279069767,28.5,-6.62729258078673,13.4565594803668,15
G,Dk,Lo,-37.1875,-16.45,9.3625,-75.9375,-16.525,-78.475,-40.3720930232558,-18.0813953488372,-26.093023255814,-59.8255813953488,-26.0581395348837,-71.4883720930233,28.5,-13.563437537828,6.40571324345993,15
