hue,lightness,chroma,HS1,A1,Sat1,LD1,YB1,RG1,HSr,Ar,Satr,LDr,YBr,RGr,L,a,b,C
C,Dk,Lo,-27.925,-23.125,9.2625,-71.1625,-28.7875,-67.7875,-27.0813953488372,-27.3488372093023,-20.3604651162791,-55.2093023255814,-44.6511627906977,-60.6627906976744,28.5,-14.9606230562991,-1.08616654677454,15
B,Dk,Lo,-26.5125,-16.0875,-0.3375,-69.5,-71.85,-18.7,-49.6046511627907,-23.4302325581395,-27.7209302325581,-54.1860465116279,-85.4069767441861,-18.6395348837209,28.5,-6.26410060014548,-13.6294183174212,15
P,Dk,Lo,-17.375,-19.6125,1.275,-74.4375,-33.9125,7.8875,-33.8604651162791,-7.17441860465116,-2.72093023255814,-54.093023255814,-34.5697674418605,20,28.5,10.3625509877358,-10.845161917951,15
R,Dk,Hi,-10.9625,15.7375,32.875,-56.7625,5.7875,90.5,-5.03488372093023,60.6046511627907,5.95348837209302,-44.2906976744186,8.01162790697674,83.5697674418605,28.5,26.3617499648928,14.3198512139084,30
O,Dk,Hi,-28.2875,17.825,27.4875,-66.125,9.675,37.0375,-37.546511627907,28.7906976744186,-2.40697674418605,-45.2441860465116,16.093023255814,33.6976744186046,28.5,12.9901147341527,27.0417625016112,30
Y,Dk,Hi,-43.5125,14.2625,-0.3875,-74.575,8.775,-44.375,-53.6976744186046,16.1511627906977,-16.593023255814,-58.4651162790698,1.54651162790698,-50.4418604651163,28.5,-3.29199541847863,29.8188324078042,30
H,Dk,Hi,-23.85,-6.3,14.3,-68.4,-9.275,-78.6125,-36.9883720930233,-3.36046511627907,-5.11627906976744,-46.7441860465116,2.23255813953488,-79.3139534883721,28.5,-13.2545851615735,26.9131189607336,30
G,Dk,Hi,-3.575,-22.6625,23.3375,-59.8875,-14.875,-92.25,0.686046511627907,-25.8488372093023,13.8953488372093,-42.1511627906977,-18.8604651162791,-80.8372093023256,28.5,-27.1268750756561,12.8114264869199,30
C,Dk,Hi,10.875,-34.95,34.975,-52.475,-37.2,-67.8375,4.94186046511628,-34.7906976744186,17.7790697674419,-40.5348837209302,-45.1511627906977,-62.7093023255814,28.5,-29.9212461125982,-2.17233309354909,30
B,Dk,Hi,6.35,-41.8125,42.6375,-52.3875,-90.3,-16.6125,-15.3139534883721,-38.4651162790698,31.9883720930233,-27.1162790697674,-90.5813953488372,-18.4418604651163,28.5,-12.5282012002909,-27.2588366348425,30
P,Dk,Hi,1.2875,-29.1125,25.0375,-66.475,-36.4,11.475,6.15116279069767,-12.1395348837209,22.4767441860465,-35.1395348837209,-32.0232558139535,20.5,28.5,20.7251019754716,-21.690323835902,30
